text,hate_score,model_explanation,requested_model,returned_model,evaluated_at_utc
Why are mudslime refugees and subsaharan niggers currently felling the west when europeans got so many olympic medals?,0.98,"The post uses an explicit anti-Muslim slur (“mudslime”), pairs it with a racist slur, and portrays refugees and Africans as negatively overtaking or undermining “the West.” This is strongly derogatory and exclusionary toward Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:25.012957+00:00
"You think that London's 1st world city status is the result of the last 30 years of muzzies, chinks, street-shitters and niggers?   Which one are you?",0.95,"The post uses the derogatory slur “muzzies” for Muslims, groups them with other targets described through racial slurs, and contemptuously suggests they did not contribute to London’s status. It is explicitly hateful and insulting, though it does not contain a direct threat.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:30.415571+00:00
>>489799072 Both made by US and have common enemy. Islam is a american cult to be honest. Mutt give fatwa and mudslime dance to it from morocco to bangladesh .Kinda impressive >>489798929 >>489805820 You can replace israel with turkey or qatar and these would probably still be true .I like syria simply because everyone hates them lol,0.9,"The post targets Islam and Muslims with derogatory slurs such as “mutt” and “mudslime,” calls Islam an “american cult,” and depicts Muslims across many countries as uniformly obeying and performing to a fatwa. This is explicit contemptuous and stereotypical language directed at a protected religious group.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:33.506168+00:00
">>489791503 Canada's got the jeets, Nigel has his muzzies, we have everyone. Who do you have? Don't tell me that Crocodile Dundee is trying to pathetically interlope by co-opting a struggle his country doesn't have, he's never done that before.",0.64,"The post uses “muzzies,” a derogatory slur for Muslims, and reduces them to a generalized group associated with Nigel. This is disparaging and stereotypical, though it contains no explicit threat, dehumanization, or call for exclusion or violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:37.091079+00:00
>beep boop>you are shillany real european would want to deport muzzies like this.,0.95,"The post uses the derogatory slur “muzzies” for Muslims and advocates deporting them as a group, making it strongly hateful and exclusionary.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:39.239115+00:00
"No such fucking shit as American Islamic anything!!  ALL Muzzies MUST be deported.
",0.99,"The post uses a derogatory slur for Muslims, denies the legitimacy of American Islamic identity, and demands that all Muslims be deported. This is explicit, sweeping exclusionary hate directed at Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:41.287038+00:00
"Yes indeed we always protected our country and our people, sadly the Muzzies are calling the shots now. Blasphemy laws etc are coming...",0.83,"The post uses the derogatory slur “Muzzies” for Muslims and portrays them as taking control and imposing blasphemy laws, expressing hostility and a threatening collective stereotype.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:43.232053+00:00
">>489719610 If you had to live next to muzzies, you would side with anyone else who is killing them too.",0.99,"The post uses a derogatory slur for Muslims and explicitly endorses siding with people who kill them, amounting to extreme hateful and violent rhetoric directed at Muslims.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:45.688670+00:00
>>489678322 They wanna replace Christian with mudslime lmao,0.84,"The post uses “mudslime” as a derogatory slur for Muslims and frames them as replacing Christians, expressing hostile, exclusionary replacement rhetoric. It does not include an explicit threat or call for violence.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:48.252316+00:00
"Love Europe, hate muzzies, anglos and most of all zegroes. Simple as.",0.99,"The post explicitly states hatred toward Muslims using the derogatory slur “muzzies.” This is direct, identity-based hateful language, even though it also targets other groups.",gpt-5.6,gpt-5.6-sol,2026-08-03T03:53:50.368413+00:00
